atom_list,purity,T90
"22,24,25,27,28,29,30",1,359
"12,24,25,26,27,28,29",1,343
"12,24,25,27,28,29,30",1,338
"12,13,24,25,28,29,30",1,387
"22,24,25,26,28,29,30",1,343
