atom_list,purity,T90
"20,24,25,27,28,29,30",1,361
"24,25,26,27,28,29,30",1,312
"13,20,25,27,28,29,30",1,415
"20,24,25,26,28,29,30",1,351
"13,24,25,26,28,29,30",1,348
