Mg,Al,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,proba_0,proba_1,proba_2,T90_pred
0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0003,0.0001,0.9997,347.4849
0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0002,0.0002,0.9996,348.3742
0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0002,0.0028,0.9970,349.5742
0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0003,0.0005,0.9992,349.6136
0.0000,0.1429,0.1429,0.0000,0.1429,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0666,0.0010,0.9324,349.9982
0.0000,0.0000,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.2172,0.0074,0.7754,350.8298
0.0000,0.1429,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0042,0.0005,0.9953,351.1563
0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0039,0.0003,0.9959,351.7400
0.0000,0.1429,0.0000,0.0000,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0034,0.0026,0.9940,352.1254
0.0000,0.0000,0.1429,0.0000,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0948,0.1297,0.7756,352.2076
0.0000,0.0000,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0022,0.0249,0.9730,353.1079
0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0004,0.0023,0.9972,353.3923
0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0244,0.0127,0.9630,353.5819
0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.4209,0.0131,0.5660,354.4887
0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.1667,0.1667,0.0000,0.0000,0.0018,0.1710,0.8272,354.7869
0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000,0.1804,0.0589,0.7607,357.2245
0.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0019,0.0005,0.9976,358.5332
0.1429,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.3796,0.0016,0.6188,358.6757
0.1429,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0024,0.0001,0.9975,358.7927
0.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000,0.2226,0.1210,0.6564,359.4903
0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0012,0.0017,0.9972,359.7379
0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.1618,0.0062,0.8320,359.7573
0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.2879,0.0061,0.7060,359.7589
0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.1667,0.1667,0.0000,0.0000,0.0004,0.1588,0.8407,361.9080
0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.4389,0.0055,0.5556,362.9992
0.1429,0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0331,0.0023,0.9646,363.5966
0.1429,0.1429,0.0000,0.1429,0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.2713,0.0007,0.7280,363.7778
0.1429,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0095,0.0003,0.9903,364.0233
0.1429,0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.1170,0.0206,0.8624,364.1744
0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0232,0.0421,0.9347,366.3893
0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.1356,0.0020,0.8624,366.7228
0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0011,0.0002,0.9987,367.0402
0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0008,0.0002,0.9990,370.3041
0.1429,0.1429,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0388,0.0008,0.9604,370.6954
